"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"A1","ESP32","FootprintLibrary:Adafruit_Feather_ESP32","https://cdn-learn.adafruit.com/downloads/pdf/adafruit-huzzah32-esp32-feather.pdf","1","","",""
"C1,C10","2200uF","FootprintLibrary:WCAP-ATG8_16X25_DXL_","~","2","","",""
"C2,C3,C5,C6,C13,C19","100nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","6","","",""
"C4,C7,C11","1000uF","FootprintLibrary:WCAP-ATUL_13X25_DXL_","~","3","","",""
"C8","1uF","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","1","","",""
"C9,C15,C16","10uF","Capacitor_SMD:C_2220_5750Metric_Pad1.97x5.40mm_HandSolder","~","3","","",""
"C12,C17,C20","100uF","FootprintLibrary:WCAP-ATG8_6.3X11_DXL_","~","3","","",""
"C14,C18","10nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","2","","",""
"C21","1nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","1","","",""
"D1","SMCJ36CA","Diode_SMD:D_SMC_Handsoldering","~","1","","",""
"FL1,FL2,FL3,FL4","744235900","FootprintLibrary:WE-CNSW_1812","https://www.we-online.com/components/products/datasheet/744235900.pdf","4","","",""
"J1","12-28V IN","FootprintLibrary:BarrelJack_Wuerth_6941xx301002","~","1","","",""
"J2","Screw_Terminal_01x02","FootprintLibrary:691502710002","~","1","","",""
"J3,J4","RJ45_LED_Shielded","FootprintLibrary:Wuerth 615008137421","~","2","","",""
"L1,L2,L3,L4","600Ω@100 MHz","Capacitor_SMD:C_2220_5750Metric_Pad1.97x5.40mm_HandSolder","~","4","","",""
"Q1","DMT10H015LK3-13","Package_TO_SOT_SMD:TO-252-3_TabPin2","https://www.diodes.com/assets/Datasheets/DMT10H015LK3.pdf","1","","",""
"Q2","DMN53D0LW-7","Package_TO_SOT_SMD:SOT-323_SC-70_Handsoldering","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","1","","",""
"R1","1k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","1","","",""
"R2","6.04k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","1","","",""
"R3","10k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","1","","",""
"R4","604k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","1","","",""
"R5","76.8k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","1","","",""
"R6","20k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","1","","",""
"U1,U2","TMC2209","FootprintLibrary:BTT-TMC2209-V1.3","https://github.com/bigtreetech/BIGTREETECH-TMC2209-V1.2/blob/master/manual/TMC2209-V1.2-manual.pdf","2","","",""
"U3","TPS26631PWP","Package_SO:HTSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP3.4x6.5mm_Mask2.75x3.43mm_ThermalVias_HandSolder","https://www.ti.com/lit/ds/symlink/tps2663.pdf","1","","",""
"U5","LD1086D2M33TR","FootprintLibrary:TO-220-3_Vertical-v8508a","https://www.st.com/resource/en/datasheet/ld1086.pdf","1","","",""
